version_string                             1.0.23
bin2ip[::1]                                ::1
ip2bin[2001:db8::ff00:42:8329]             20010db8000000000000ff0000428329
bin2ip[2001:db8::ff00:42:8329]             2001:db8::ff00:42:8329
ip2bin[::ffff:1.2.3.4]                     00000000000000000000ffff01020304
bin2ip[::ffff:1.2.3.4]                     1.2.3.4
ip2bin[bad]                                FAIL
ip2bin[256.1.1.1]                          FAIL
ip2bin[fe80::1%eth0]                       fe800000000000000000000000000001
bin2ip[fe80::1%eth0]                       fe80::1
sha256[0]                                  e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sha512[0]                                  cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e
hash[0]                                    cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e
sha3256[0]                                 a7ffc6f8bf1ed76651c14756a061d662f580ff4de43b49fa82d80a4b80f8434a
sha3512[0]                                 a69f73cca23a9ac5c8b567dc185a756e97c982164fe25859e0d1dcc1475c80a615b2123af1f5f94c11e3e9402c3ac558f500199d95b6d3e301758586281dcd26
sha256[37]                                 95de69bcab0ffc3472d3d9bacfdda7d70f7bdb6c23cb0380251035e477271525
sha512[37]                                 7ebd6283159822b9fdff4d04cad5a6f332a3721ef62e7c4e1598169673ac16d4da99b723d55c7b40d9b3cb38924e9eefc1db8050ca85fb9d3465d9e1d2843fd9
hash[37]                                   7ebd6283159822b9fdff4d04cad5a6f332a3721ef62e7c4e1598169673ac16d4da99b723d55c7b40d9b3cb38924e9eefc1db8050ca85fb9d3465d9e1d2843fd9
sha3256[37]                                562a0a8c802490b1918a77056f0bdcf3efa882c9b9000298099f8754e24096ba
sha3512[37]                                968a6d689185c7cfb7a65425c662258e55861c9646bb4f6f8b4a381b70410edb2e8bfb80708c0dbb9f9613556ca0746ffb5cb9c65df66710e2a880b0a533b5c9
sha256[74]                                 423443f8b15467e0afab08b12f5f659e77a5ab183de95916517f3b9f9b00bd30
sha512[74]                                 d38fd7a14327dd40f541a651bd00d4c2bbe954a1642ec796e88092363ffce5e564f15106907f79db45efbf6df1e20f17d2d3042b98e99e327bd9540eb80b7432
hash[74]                                   d38fd7a14327dd40f541a651bd00d4c2bbe954a1642ec796e88092363ffce5e564f15106907f79db45efbf6df1e20f17d2d3042b98e99e327bd9540eb80b7432
sha3256[74]                                a6186bf0a3e0989b6bb2171ec852b897315b9943bacaaeafe85ba390725ec5c4
sha3512[74]                                0f27303ed40f82906e74f74b575bd383e42ce2d80f2b7be47252f5782efb6f5cef3b79523f88b3a0ec32c78e318af6e0fb2e5ee6aa3d476fa17c45231e51fb10
sha256[111]                                8b4c9e5b6613d63ac9d2ecbe2881c63e52d06a46dc7c6c467d1e38a309104d4f
sha512[111]                                4289f1f466b62df79da52cf891a6e31c15e18fe7558144fd2bde48d232f64ae01a421d481f080bf6540cd8e1754d6684fd3be7fbb97afc5a10d5e4d92f471380
hash[111]                                  4289f1f466b62df79da52cf891a6e31c15e18fe7558144fd2bde48d232f64ae01a421d481f080bf6540cd8e1754d6684fd3be7fbb97afc5a10d5e4d92f471380
sha3256[111]                               36cf6c9966713658378270e6ad077329b3a540b83ac6c8892979d1a51181848c
sha3512[111]                               9da6f14f7e4b893fa01b7891deb4e1e2b0d3034e4982ef02d8f4721fb48307888b238209e9955a7cf7f6cfcea84d7d031a7e2fe8700b29e629587d1279d430b1
sha256[148]                                5708290f518c155eb46b44cb76f306982a5519148c18efcea0b4313abf52a325
sha512[148]                                f5130bd43c03a8d07d2255695c646816c70b26b2db1230980c481b9b8d145e17e0dfb335b0813f4d0a92028690c75bb097c211b668bd259483011cc1413feaa2
hash[148]                                  f5130bd43c03a8d07d2255695c646816c70b26b2db1230980c481b9b8d145e17e0dfb335b0813f4d0a92028690c75bb097c211b668bd259483011cc1413feaa2
sha3256[148]                               c9b2d40523b46325d852cce5fe993d473df21d5b129ddf3bbe610b987c8f94ca
sha3512[148]                               18fc60e3e00d5514aa5a4202326fba4cd08ea2b474c620783bceebb9d8fac0431f85438d36903e61984ca07df5e7035ef57ae0b95626fc7efe96eece4a358ebe
sha256[185]                                fa547440c47443878b2aa921b65b97c226b61b963b9c7d5ca57cd54433d62cf4
sha512[185]                                f89984a3247ce43a0909a0afedd466f63d4767081901cadf3c1ea04bb2903c6f2dcf21ee3f0f1960e13df0e38a1416fe23db67fcd5eba7777aea8e77e82d5d49
hash[185]                                  f89984a3247ce43a0909a0afedd466f63d4767081901cadf3c1ea04bb2903c6f2dcf21ee3f0f1960e13df0e38a1416fe23db67fcd5eba7777aea8e77e82d5d49
sha3256[185]                               dec88d4b76e14052061462efe3812fd0d9ff2f25f2a6e65529c56694cb506bcb
sha3512[185]                               529440ce44a4e94e6090de3a502d90e872890e747c76bf47050e6e8b39f6e8b2878aeb1e4644bced135ed1eb51cc3cc22af830a6c530464fee90c24975ca10e4
sha256[222]                                467e8ca95ebaa67776f6ff4a0c66db709dbeca61c783a555f5db5b0a1df02d7b
sha512[222]                                c35b3bfaf7e13b07264a42cdb36ee6d03c0fd85800ae20a52202e4c384dc56ec5008057729ce67b3ed949ac10e577a0f991dcea8faddf641b2aa5f1830570908
hash[222]                                  c35b3bfaf7e13b07264a42cdb36ee6d03c0fd85800ae20a52202e4c384dc56ec5008057729ce67b3ed949ac10e577a0f991dcea8faddf641b2aa5f1830570908
sha3256[222]                               2ddf71688281428e28033c23599f000647f44df300670462ab4aaab32c3add60
sha3512[222]                               ff9575fe43cb8606d447896b6adb1b1cd9812c93f8529e9ec1f92f31e5ebbc59f23cf39cc5a2dde85074cb70135383989622dab8bdc32c7145ea5eb8805f4312
hash_primitive                             sha512
sha256_stream                              a1f64a00277cc6bf184933fafb39e5adf90d899a81cc67950728424ab47e3fbb
sha512_stream                              4addf23ee230a665364c45ff8076ff31ef26a49ac32b9690c98f4375a2be156a9475396f8d0b6b8f3f4d82089e792a016c47ec340be32328d8adce1ca447318a
sha3256_stream                             2825777b564d2688ed5ff5383a5539fd9f963fda9edaea602637e880301de162
sha3512_stream                             4ab95966618b245d069f7bf2f4c42f63fd4d994e4011523932b55723bb5d6d90d78fae0adf2b77748eaa17eb9bca94f84e3bc45cbc08dacb8a3f6cc04dcf5478
shake128                                   f76a8bdf3f210a7d446e17a997b317c59ee39f31da56840b9bab44c201d51314a9e97ab07ee025e73c0d803d62ddaf2c5415326f71bd7254f534cb9cde31cc4d65b0731a9d8adfb087ea0a12265439be32a53cca80683e2a1e9f4f484f832e3058ffa864e0a5da71f29d9dd34229e8a75a3d62ab1db7b883f5fb7571b513e767ae34204f0b419b9e6ac7370abe9ba403389f3c57945c923954416d11ebb16d5f89c775754140609d8f49c1c7edd935f16b340cf6bb3ae949336955d6d7030040474a7bf64a03fe01
shake256                                   ba0bca0f1d4373d5a0e7654c29c8ac46eea3ad863d3acb4286e0f778d57bc6d00ed3d450f426f2870e0b4773f06b2d2f3ff136e45f915b6e788cd0f047d0bab15175f6b32067d8faa1ea9e8e33e6193c03d78899d0011a525bcc32602266e599d5614a87b792f88143ff3442d035e68e89b89845ef58c18465cf4f9c6188f59a6b9e72815d7ee9b320dca925cfeceae9ad24e52a6a85fe9ba38506454c54b17df04ba8f6e8dcc9911bf2f54a506922a26f3cb3329337886553895cfc4796039f465715299e10a5b3
turboshake128                              41a26e89d772637fe2dbcc123830c7641356ae4eb6aecd0bd4d767ada0d7f78d9d05c79158c154faec111c0e96a0ee3dc35e74d9ca03e25209ec66fc1974302d40a8be53275c717e9205eeb0d4aaca05903e687027af1c659021406d707fdd7f86018108c623ab5dc277474d8c127b6866e625ea7d8fd2aeca17da82f345113ea3a39b4cf6f5140bcfa9688d061e0fde9ab1de00b3e3f60dff4240de9bae83b6ab0fff6faf2d5382ed38de688295f660e6b26d91fc0a17159c23dc778a79db4e666da9f425c0a575
turboshake256                              ad6310cb9d7a36858ba18612e98d124499d419c49cf47b22309b044cb18cce89754cc26a3dd4a5ebd69e86d5164868a9c7e9e35ad1671317973f69d93be60767e926cced1fc66dd5628bd888d6429c5cdbd4f1d66ee059b1a135c1c6593ff5487f2212e3cfc629dc32284971a206c9453aca71a92591ab636b319e86e734ef38ebd92e250e93669752870d4dbb4a8e02aa82ec102357391c9c41a1682058977067acde6676e1345ca2f6c0c0777bf13ad1f0c643433b4cefe385182782f9ca0a5c5aa77d31754fc9
shake128_stream                            f76a8bdf3f210a7d446e17a997b317c59ee39f31da56840b9bab44c201d51314a9e97ab07ee025e73c0d803d62ddaf2c5415326f71bd7254f534cb9cde31cc4d65b0731a9d8adfb087ea0a12265439be32a53cca80683e2a1e9f4f484f832e3058ffa864e0a5da71f29d9dd34229e8a75a3d62ab1db7b883f5fb7571b513e767ae34204f0b419b9e6ac7370abe9ba403389f3c57945c923954416d11ebb16d5f89c775754140609d8f49c1c7edd935f16b340cf6bb3ae949336955d6d7030040474a7bf64a03fe01
shake256_stream                            ba0bca0f1d4373d5a0e7654c29c8ac46eea3ad863d3acb4286e0f778d57bc6d00ed3d450f426f2870e0b4773f06b2d2f3ff136e45f915b6e788cd0f047d0bab15175f6b32067d8faa1ea9e8e33e6193c03d78899d0011a525bcc32602266e599d5614a87b792f88143ff3442d035e68e89b89845ef58c18465cf4f9c6188f59a6b9e72815d7ee9b320dca925cfeceae9ad24e52a6a85fe9ba38506454c54b17df04ba8f6e8dcc9911bf2f54a506922a26f3cb3329337886553895cfc4796039f465715299e10a5b3
turboshake128_dom                          41a26e89d772637fe2dbcc123830c7641356ae4eb6aecd0bd4d767ada0d7f78d9d05c79158c154faec111c0e96a0ee3dc35e74d9ca03e25209ec66fc1974302d40a8be53275c717e9205eeb0d4aaca05903e687027af1c659021406d707fdd7f86018108c623ab5dc277474d8c127b6866e625ea7d8fd2aeca17da82f345113ea3a39b4cf6f5140bcfa9688d061e0fde9ab1de00b3e3f60dff4240de9bae83b6ab0fff6faf2d5382ed38de688295f660e6b26d91fc0a17159c23dc778a79db4e666da9f425c0a575
turboshake256_dom                          b723bfb6440e2576778635b5994a0873cebb4e7b950fedf644bd3b050facbd58f0167550329b158a44517258affacf28924991aef5f9c9a46504ebd39d5a9663936c1cba4c43862bd4ed498fa5e9974052abafaefca6e3efbf9909ff8b5749f90bda1ae30a1b0829dd7e541f997e92488355f5179ce842090705cb96335d9a0f46790ae4e2c0a5f76bf777359641540c0dfd247153da06d74e06625835572e41c94c5ea7882262ac1ec44686e42741c2d869b00cb351a15f95cc544641653bbcc91064dd2b023019
shake128_blockbytes                        168
shake256_blockbytes                        136
ts128_domain                               31
ts256_domain                               31
keccak24                                   c6cdcdb92a8b3712d520141ed75e6d847a28fd722969fbb8bb67c796fd5cc893508fb6fc280379fd859e670131bc197ae22ec62a951d93469ce3313d358b0d65b2b5ea54717c2e572e54cafffdb35e182cb5fb510abad0f6f362fe5948bcdccceec0809fc90ede3bcfc96b2d2283dfee993935fdd0d56742d1514c0e22127e8bf3565eae9b54071c4aca5c86c197142c697f89a886f2bf5457b9f5d657e2fc834b3cb59ef38f55cdd39f19cff840ba281ad0614e936981585165e92dc8e989aa177a6abf58fd8d20
keccak12                                   c5c5dfe4ea86f116d9f6c4025bf8c1f29c928798f46b30966789d05cb10b8f3b4ebad1c27f60f3d6754b1aed249005abe4ae1c5a3a7cbe82d0110d65350de0bbd45a8739430bf03fcecd071cce46e78c0a2b5012444dac826ad57077fd25d1751477144ed845539660692a03648bfbe12cf917efb597c1549ff9d620f493a83aa501bb14d5a22b46fd0903f3ac680c879b15cd4361bb
keccak_statebytes                          224
generichash[16]                            e5992cb7146fd7d0b9dfca53b4e59cb5
blake2b_sp[16]                             2b44bafcb9c6a0872b21cde187e63d7a
generichash[32]                            e11be3a091daf286a0dd92d58d8369cf457434da06d7d7d05eeedf9fb18965c8
blake2b_sp[32]                             e76420bdfe1026b18527403b271ec38da1ee08d99bca8c785630ac28d1a377ec
generichash[48]                            af56ad998a12a15f7ce2c45c23fe099dc506be7c34b82af861ca17fe77ebc6d19811c6099572de339bf41b14b28f7152
blake2b_sp[48]                             36976c7631aad326242d8bcdc2e9c4f814f3a86f0e1371c3f838e16e6d750d8602178f29b6ca9f35a4826b2fc56aff7e
generichash[64]                            b13984756ab5c843708e05d7011fb0366467002dd675af541c7174c45d39c74b7ab343493500e9c567c65c9ed7bccddfdc37270735ce12dc20ade2e014811408
blake2b_sp[64]                             ee09f2f687fe1cba62d34b8a56c005e28af6f57d6a2be07161a8da95bd928308f309a34b063cddc124fd68e2333c6a9c9c3e948576f2c4239a683b4d2733a79a
generichash_stream                         5fb7c682533fa8b1f772073183bdeac3144e5f1c725b4751e7999aa89db5e304
generichash_primitive                      blake2b
siphash24                                  fbcf673f06796a74
siphashx24                                 1dfefc11a00d2f04dffcaf1aba013699
shorthash_primitive                        siphash24
auth                                       aa35b429f326808a833e92fd486d9e544ac72335476074212c953a76deb81049
auth_verify                                0
hmacsha256                                 c45b24a2c1d8bfeb3b5f2c24ed31845d0501d14f95f0db62d13c8f00cf83a855
hmacsha512                                 aa35b429f326808a833e92fd486d9e544ac72335476074212c953a76deb810495822c541e28cb1b7faf46e547f37880336900257ca077515fc8a7386731e50a7
hmacsha512256                              aa35b429f326808a833e92fd486d9e544ac72335476074212c953a76deb81049
hmacsha256_stream                          e425493a3ac8ae4840590cb0adaafc5983411c86d0253f9dbefd6cab1d5f278f
hmacsha512_stream                          08d16a69fd04c5029940f18704bbca83e6a3a53465779e59a54cc3022f7f24bdd5a01a3e5a2e70fd87e148b56bf9b7b92fc22e1d6795105ca3f13437abd4e01e
hmacsha512256_stream                       08d16a69fd04c5029940f18704bbca83e6a3a53465779e59a54cc3022f7f24bd
auth_primitive                             hmacsha512256
onetimeauth                                3dceb49c67f9e1c0a901dfe7de6de5a4
onetimeauth_verify                         0
onetimeauth_stream                         f91a9d3e821e4c934e15f21da30c8de0
onetimeauth_primitive                      poly1305
core_salsa20                               56d5a4d7adbb08957a98467e3426ce90faa6e10d2da103eb937fbcbf17f012c6f5e79f3942b52def18f2213cafe7693922fd881fdd145c4de61364c69790d3b9
core_salsa2012                             5012bedcec368cb9a3e86f09a772340fb18c03c08149a3e36ed79a52acdf8a7f1e17f0e369a8a56f56032e02b1d13962eff4795c7365aa7f5405d6ade6ea0e02
core_salsa208                              5c6416163184e7ab89db9b374f1d3d538f53be2fe18421063e9085fbf4424695432cac2d7bc78ffbb705d1db3684aee5b97a778e29ddff98146285e960baa2b3
core_hsalsa20                              f15c3476bf3ce3b7e6c4bfc2232bb34e9172a49ce9b6ce769b822fbebc239147
core_hchacha20                             e82d334cb8d6cf100b46f6b2bbfcbec8263880eec3dc3ff6996882fe30842e0a
stream_salsa20[0]                          
salsa20_xor_ic[0]                          
stream_chacha20[0]                         
chacha20_xor_ic[0]                         
chacha20_ietf[0]                           
chacha20_ietf_xor_ic[0]                    
xchacha20[0]                               
xchacha20_xor_ic[0]                        
xsalsa20[0]                                
xsalsa20_xor_ic[0]                         
salsa2012[0]                               
salsa208[0]                                
stream[0]                                  
stream_salsa20[131]                        9f90c36c2cad6325e209dc4111914dda53df6e4d52edc115aa863931fe7d00900882b7a3b43643b8cb677d33022865fb70554e3021ea684940c9591816df0769
salsa20_xor_ic[131]                        c7c687aecec833bb739ce006578ccd43c8e254cc2d63a920da5612f3787edf9c5779ac5f2d9ab4eb7df0392dd6fecfeaa48dcb57c92f74b1a8b63730ea21c907
stream_chacha20[131]                       72e0ced8e17ce0b06f8bb1def29feef7f7599712c9d5b8a9f6cbeec18b11da47f9bdb95e5f1251488c416cce1c05acafda72e47ef6e33d4f820a4da0151c3e49
chacha20_xor_ic[131]                       c5f6c9c3335de2148766728cfb1ab1f26bffa8455fb862cd38a97b5461297d43c24c8f0dce575be6b0acfa349750cde8cdda24be965fd710ac79b7b327c96d90
chacha20_ietf[131]                         346c102b276e657bb2027ba309f5d6c2ec0ed6f9635498d724c5c37bd35c05624986a5ab937075b2e9fc5737c55eeede8a0f4e1afc9a908568fe6a3e11c80c9b
chacha20_ietf_xor_ic[131]                  fe4f8ba081d3537cf18a7154a38e637a004b033d442af6beb10c2c36446d7938256f4eae287f8710f135c1f48032159be93ba72ef876e99d6b56f0919cc684c3
xchacha20[131]                             44592ddb6604ef6ce71ada09d79278fd10a42f033cb27db78fbaf062a92a957c189faaa3a4632420819742092e336ecad581ab2363decb3f9f5969173c799126
xchacha20_xor_ic[131]                      e2d232c3352d6c8665e5b45c964b3d8f5c4a0772e0a56428195f1aebf96982113d926673b2e1248c1de21e86fb7080fd05709edbe8de0733492b2c227dd06bef
xsalsa20[131]                              1bbb5e33f0df542f86db40f35f477705bca0bbf43d28fab36ae273c8b2076499ff12e7feb21d806aec990fadada06ea7f5ab7fe3fe928b2c1247be41ec42e139
xsalsa20_xor_ic[131]                       21c817f89825b94eccec9109288ac874a8bd314e473b86d8edc60c3c83986450f8118e14331318161603ef525ec093498a75bdc1256b98662c13311e63257ada
salsa2012[131]                             e60a4e899d585cc794e946eb6912a411872709561eb5328b0214f2a884d832af4390dc47c3db062ced292ad626520803e826c28183c80053a3208739ca3a8d27
salsa208[131]                              fa77d8344c544a366b833634a1515c75e5ff8461fe0e2936c614d22203e5073ee498359639bd1a135c5ac7579eba0a3461b480b131432d0ac56455ae0b29be07
stream[131]                                1bbb5e33f0df542f86db40f35f477705bca0bbf43d28fab36ae273c8b2076499ff12e7feb21d806aec990fadada06ea7f5ab7fe3fe928b2c1247be41ec42e139
stream_salsa20[262]                        9f90c36c2cad6325e209dc4111914dda53df6e4d52edc115aa863931fe7d00900882b7a3b43643b8cb677d33022865fb70554e3021ea684940c9591816df0769
salsa20_xor_ic[262]                        c7c687aecec833bb739ce006578ccd43c8e254cc2d63a920da5612f3787edf9c5779ac5f2d9ab4eb7df0392dd6fecfeaa48dcb57c92f74b1a8b63730ea21c907
stream_chacha20[262]                       72e0ced8e17ce0b06f8bb1def29feef7f7599712c9d5b8a9f6cbeec18b11da47f9bdb95e5f1251488c416cce1c05acafda72e47ef6e33d4f820a4da0151c3e49
chacha20_xor_ic[262]                       c5f6c9c3335de2148766728cfb1ab1f26bffa8455fb862cd38a97b5461297d43c24c8f0dce575be6b0acfa349750cde8cdda24be965fd710ac79b7b327c96d90
chacha20_ietf[262]                         346c102b276e657bb2027ba309f5d6c2ec0ed6f9635498d724c5c37bd35c05624986a5ab937075b2e9fc5737c55eeede8a0f4e1afc9a908568fe6a3e11c80c9b
chacha20_ietf_xor_ic[262]                  fe4f8ba081d3537cf18a7154a38e637a004b033d442af6beb10c2c36446d7938256f4eae287f8710f135c1f48032159be93ba72ef876e99d6b56f0919cc684c3
xchacha20[262]                             44592ddb6604ef6ce71ada09d79278fd10a42f033cb27db78fbaf062a92a957c189faaa3a4632420819742092e336ecad581ab2363decb3f9f5969173c799126
xchacha20_xor_ic[262]                      e2d232c3352d6c8665e5b45c964b3d8f5c4a0772e0a56428195f1aebf96982113d926673b2e1248c1de21e86fb7080fd05709edbe8de0733492b2c227dd06bef
xsalsa20[262]                              1bbb5e33f0df542f86db40f35f477705bca0bbf43d28fab36ae273c8b2076499ff12e7feb21d806aec990fadada06ea7f5ab7fe3fe928b2c1247be41ec42e139
xsalsa20_xor_ic[262]                       21c817f89825b94eccec9109288ac874a8bd314e473b86d8edc60c3c83986450f8118e14331318161603ef525ec093498a75bdc1256b98662c13311e63257ada
salsa2012[262]                             e60a4e899d585cc794e946eb6912a411872709561eb5328b0214f2a884d832af4390dc47c3db062ced292ad626520803e826c28183c80053a3208739ca3a8d27
salsa208[262]                              fa77d8344c544a366b833634a1515c75e5ff8461fe0e2936c614d22203e5073ee498359639bd1a135c5ac7579eba0a3461b480b131432d0ac56455ae0b29be07
stream[262]                                1bbb5e33f0df542f86db40f35f477705bca0bbf43d28fab36ae273c8b2076499ff12e7feb21d806aec990fadada06ea7f5ab7fe3fe928b2c1247be41ec42e139
stream_salsa20[393]                        9f90c36c2cad6325e209dc4111914dda53df6e4d52edc115aa863931fe7d00900882b7a3b43643b8cb677d33022865fb70554e3021ea684940c9591816df0769
salsa20_xor_ic[393]                        c7c687aecec833bb739ce006578ccd43c8e254cc2d63a920da5612f3787edf9c5779ac5f2d9ab4eb7df0392dd6fecfeaa48dcb57c92f74b1a8b63730ea21c907
stream_chacha20[393]                       72e0ced8e17ce0b06f8bb1def29feef7f7599712c9d5b8a9f6cbeec18b11da47f9bdb95e5f1251488c416cce1c05acafda72e47ef6e33d4f820a4da0151c3e49
chacha20_xor_ic[393]                       c5f6c9c3335de2148766728cfb1ab1f26bffa8455fb862cd38a97b5461297d43c24c8f0dce575be6b0acfa349750cde8cdda24be965fd710ac79b7b327c96d90
chacha20_ietf[393]                         346c102b276e657bb2027ba309f5d6c2ec0ed6f9635498d724c5c37bd35c05624986a5ab937075b2e9fc5737c55eeede8a0f4e1afc9a908568fe6a3e11c80c9b
chacha20_ietf_xor_ic[393]                  fe4f8ba081d3537cf18a7154a38e637a004b033d442af6beb10c2c36446d7938256f4eae287f8710f135c1f48032159be93ba72ef876e99d6b56f0919cc684c3
xchacha20[393]                             44592ddb6604ef6ce71ada09d79278fd10a42f033cb27db78fbaf062a92a957c189faaa3a4632420819742092e336ecad581ab2363decb3f9f5969173c799126
xchacha20_xor_ic[393]                      e2d232c3352d6c8665e5b45c964b3d8f5c4a0772e0a56428195f1aebf96982113d926673b2e1248c1de21e86fb7080fd05709edbe8de0733492b2c227dd06bef
xsalsa20[393]                              1bbb5e33f0df542f86db40f35f477705bca0bbf43d28fab36ae273c8b2076499ff12e7feb21d806aec990fadada06ea7f5ab7fe3fe928b2c1247be41ec42e139
xsalsa20_xor_ic[393]                       21c817f89825b94eccec9109288ac874a8bd314e473b86d8edc60c3c83986450f8118e14331318161603ef525ec093498a75bdc1256b98662c13311e63257ada
salsa2012[393]                             e60a4e899d585cc794e946eb6912a411872709561eb5328b0214f2a884d832af4390dc47c3db062ced292ad626520803e826c28183c80053a3208739ca3a8d27
salsa208[393]                              fa77d8344c544a366b833634a1515c75e5ff8461fe0e2936c614d22203e5073ee498359639bd1a135c5ac7579eba0a3461b480b131432d0ac56455ae0b29be07
stream[393]                                1bbb5e33f0df542f86db40f35f477705bca0bbf43d28fab36ae273c8b2076499ff12e7feb21d806aec990fadada06ea7f5ab7fe3fe928b2c1247be41ec42e139
stream_salsa20[524]                        9f90c36c2cad6325e209dc4111914dda53df6e4d52edc115aa863931fe7d00900882b7a3b43643b8cb677d33022865fb70554e3021ea684940c9591816df0769
salsa20_xor_ic[524]                        c7c687aecec833bb739ce006578ccd43c8e254cc2d63a920da5612f3787edf9c5779ac5f2d9ab4eb7df0392dd6fecfeaa48dcb57c92f74b1a8b63730ea21c907
stream_chacha20[524]                       72e0ced8e17ce0b06f8bb1def29feef7f7599712c9d5b8a9f6cbeec18b11da47f9bdb95e5f1251488c416cce1c05acafda72e47ef6e33d4f820a4da0151c3e49
chacha20_xor_ic[524]                       c5f6c9c3335de2148766728cfb1ab1f26bffa8455fb862cd38a97b5461297d43c24c8f0dce575be6b0acfa349750cde8cdda24be965fd710ac79b7b327c96d90
chacha20_ietf[524]                         346c102b276e657bb2027ba309f5d6c2ec0ed6f9635498d724c5c37bd35c05624986a5ab937075b2e9fc5737c55eeede8a0f4e1afc9a908568fe6a3e11c80c9b
chacha20_ietf_xor_ic[524]                  fe4f8ba081d3537cf18a7154a38e637a004b033d442af6beb10c2c36446d7938256f4eae287f8710f135c1f48032159be93ba72ef876e99d6b56f0919cc684c3
xchacha20[524]                             44592ddb6604ef6ce71ada09d79278fd10a42f033cb27db78fbaf062a92a957c189faaa3a4632420819742092e336ecad581ab2363decb3f9f5969173c799126
xchacha20_xor_ic[524]                      e2d232c3352d6c8665e5b45c964b3d8f5c4a0772e0a56428195f1aebf96982113d926673b2e1248c1de21e86fb7080fd05709edbe8de0733492b2c227dd06bef
xsalsa20[524]                              1bbb5e33f0df542f86db40f35f477705bca0bbf43d28fab36ae273c8b2076499ff12e7feb21d806aec990fadada06ea7f5ab7fe3fe928b2c1247be41ec42e139
xsalsa20_xor_ic[524]                       21c817f89825b94eccec9109288ac874a8bd314e473b86d8edc60c3c83986450f8118e14331318161603ef525ec093498a75bdc1256b98662c13311e63257ada
salsa2012[524]                             e60a4e899d585cc794e946eb6912a411872709561eb5328b0214f2a884d832af4390dc47c3db062ced292ad626520803e826c28183c80053a3208739ca3a8d27
salsa208[524]                              fa77d8344c544a366b833634a1515c75e5ff8461fe0e2936c614d22203e5073ee498359639bd1a135c5ac7579eba0a3461b480b131432d0ac56455ae0b29be07
stream[524]                                1bbb5e33f0df542f86db40f35f477705bca0bbf43d28fab36ae273c8b2076499ff12e7feb21d806aec990fadada06ea7f5ab7fe3fe928b2c1247be41ec42e139
stream_primitive                           xsalsa20
aead_ccp[0]                                709a35bbca62a82b83d35fff77f31c2c
aead_ccp_dec                               0
aead_ccp_ietf[0]                           12bf4409f6c8896601eb8558270aaba3
aead_ccp_ietf_dec                          0
aead_xccp[0]                               7aac5b650cdc3cb18b1f686cdf50166b
aead_xccp_dec                              0
aead_aegis128l[0]                          ccdc9d2d2faa4e0fee06519d67ac742376f226dde419c3c8d4299f07fc49f71a
aead_aegis128l_dec                         0
aead_aegis256[0]                           ec930992fc690402cd9a1535d67766574db7891ef209b6485fb0595d7ef6374f
