
########## PHASE 2: ZSTD_CCtx_params object API ##########
createCCtxParams                                         nonnull=1
reset(L3).validateSequences                              0
reset(L3).blockSplitterLevel                             0
reset(L3).splitAfterSequences                            0
reset(L3).useRowMatchFinder                              0
reset(L3).deterministicRefPrefix                         0
reset(L3).prefetchCDictTables                            0
reset(L3).enableSeqProducerFallback                      0
reset(L3).maxBlockSize                                   0
reset(L3).repcodeResolution                              0
reset(L3).searchForExternalRepcodes                      0
CCtxParams_registerSequenceProducer(NULL,NULL)           done
  estCCtxSize after registerSeqProd                      OK 1303576
setParametersUsingCCtxParams                             OK 0
usingCCtxParams c2(L3)                                   OK     16396 fnv=cf3d1870b9b59327
  roundtrip                                              match
  compressStream2(start session)                         OK 0
  setParametersUsingCCtxParams mid                       ERR(60) Operation not authorized at current processing stage
setParametersUsingCCtxParams(NULLparams)                 ERR(60) Operation not authorized at current processing stage
freeCCtxParams                                           OK 0
CCtxParams_init                                          OK 0
init(L-22).compressionLevel                              -22
init(L-22).windowLog                                     0
init(L-22).hashLog                                       0
init(L-22).chainLog                                      0
init(L-22).searchLog                                     0
init(L-22).minMatch                                      0
init(L-22).targetLength                                  0
init(L-22).strategy                                      0
init(L-22).targetCBlockSize                              0
init(L-22).enableLongDistanceMatching                    0
init(L-22).ldmHashLog                                    0
init(L-22).ldmMinMatch                                   0
init(L-22).ldmBucketSizeLog                              0
init(L-22).ldmHashRateLog                                0
init(L-22).contentSizeFlag                               1
init(L-22).checksumFlag                                  0
init(L-22).dictIDFlag                                    1
init(L-22).nbWorkers                                     0
init(L-22).jobSize                                       ERR Unsupported parameter
init(L-22).overlapLog                                    ERR Unsupported parameter
init(L-22).rsyncable                                     ERR Unsupported parameter
init(L-22).format                                        0
init(L-22).forceMaxWindow                                0
init(L-22).forceAttachDict                               0
init(L-22).literalCompressionMode                        0
init(L-22).srcSizeHint                                   0
init(L-22).enableDedicatedDictSearch                     0
init(L-22).stableInBuffer                                0
init(L-22).stableOutBuffer                               0
init(L-22).blockDelimiters                               0
init(L-22).validateSequences                             0
init(L-22).blockSplitterLevel                            0
init(L-22).splitAfterSequences                           0
init(L-22).useRowMatchFinder                             0
init(L-22).deterministicRefPrefix                        0
init(L-22).prefetchCDictTables                           0
init(L-22).enableSeqProducerFallback                     0
init(L-22).maxBlockSize                                  0
init(L-22).repcodeResolution                             0
init(L-22).searchForExternalRepcodes                     0
  estCCtxSize_usingCCtxParams                            OK 549912
  estCStreamSize_usingCCtxParams                         OK 1336857
CCtxParams_init_advanced                                 OK 0
initAdv(L-22).compressionLevel                           0
initAdv(L-22).windowLog                                  17
initAdv(L-22).hashLog                                    12
initAdv(L-22).chainLog                                   12
initAdv(L-22).searchLog                                  1
initAdv(L-22).minMatch                                   5
initAdv(L-22).targetLength                               22
initAdv(L-22).strategy                                   1
initAdv(L-22).targetCBlockSize                           0
initAdv(L-22).enableLongDistanceMatching                 2
initAdv(L-22).ldmHashLog                                 0
initAdv(L-22).ldmMinMatch                                0
initAdv(L-22).ldmBucketSizeLog                           0
initAdv(L-22).ldmHashRateLog                             0
initAdv(L-22).contentSizeFlag                            1
initAdv(L-22).checksumFlag                               0
initAdv(L-22).dictIDFlag                                 1
initAdv(L-22).nbWorkers                                  0
initAdv(L-22).jobSize                                    ERR Unsupported parameter
initAdv(L-22).overlapLog                                 ERR Unsupported parameter
initAdv(L-22).rsyncable                                  ERR Unsupported parameter
initAdv(L-22).format                                     0
initAdv(L-22).forceMaxWindow                             0
initAdv(L-22).forceAttachDict                            0
initAdv(L-22).literalCompressionMode                     0
initAdv(L-22).srcSizeHint                                0
initAdv(L-22).enableDedicatedDictSearch                  0
initAdv(L-22).stableInBuffer                             0
initAdv(L-22).stableOutBuffer                            0
initAdv(L-22).blockDelimiters                            0
initAdv(L-22).validateSequences                          0
initAdv(L-22).blockSplitterLevel                         0
initAdv(L-22).splitAfterSequences                        2
initAdv(L-22).useRowMatchFinder                          2
initAdv(L-22).deterministicRefPrefix                     0
initAdv(L-22).prefetchCDictTables                        0
initAdv(L-22).enableSeqProducerFallback                  0
initAdv(L-22).maxBlockSize                               131072
initAdv(L-22).repcodeResolution                          2
initAdv(L-22).searchForExternalRepcodes                  2
CCtxParams_reset                                         OK 0
reset(L-22).compressionLevel                             3
reset(L-22).windowLog                                    0
reset(L-22).hashLog                                      0
reset(L-22).chainLog                                     0
reset(L-22).searchLog                                    0
reset(L-22).minMatch                                     0
reset(L-22).targetLength                                 0
reset(L-22).strategy                                     0
reset(L-22).targetCBlockSize                             0
reset(L-22).enableLongDistanceMatching                   0
reset(L-22).ldmHashLog                                   0
reset(L-22).ldmMinMatch                                  0
reset(L-22).ldmBucketSizeLog                             0
reset(L-22).ldmHashRateLog                               0
reset(L-22).contentSizeFlag                              1
reset(L-22).checksumFlag                                 0
reset(L-22).dictIDFlag                                   1
reset(L-22).nbWorkers                                    0
reset(L-22).jobSize                                      ERR Unsupported parameter
reset(L-22).overlapLog                                   ERR Unsupported parameter
reset(L-22).rsyncable                                    ERR Unsupported parameter
reset(L-22).format                                       0
reset(L-22).forceMaxWindow                               0
reset(L-22).forceAttachDict                              0
reset(L-22).literalCompressionMode                       0
reset(L-22).srcSizeHint                                  0
reset(L-22).enableDedicatedDictSearch                    0
reset(L-22).stableInBuffer                               0
reset(L-22).stableOutBuffer                              0
reset(L-22).blockDelimiters                              0
reset(L-22).validateSequences                            0
reset(L-22).blockSplitterLevel                           0
reset(L-22).splitAfterSequences                          0
reset(L-22).useRowMatchFinder                            0
reset(L-22).deterministicRefPrefix                       0
reset(L-22).prefetchCDictTables                          0
reset(L-22).enableSeqProducerFallback                    0
reset(L-22).maxBlockSize                                 0
reset(L-22).repcodeResolution                            0
reset(L-22).searchForExternalRepcodes                    0
CCtxParams_registerSequenceProducer(NULL,NULL)           done
  estCCtxSize after registerSeqProd                      OK 1303576
setParametersUsingCCtxParams                             OK 0
usingCCtxParams c2(L-22)                                 OK     21127 fnv=3657652dd5f0c6b0
  roundtrip                                              match
  compressStream2(start session)                         OK 0
  setParametersUsingCCtxParams mid                       ERR(60) Operation not authorized at current processing stage
setParametersUsingCCtxParams(NULLparams)                 ERR(60) Operation not authorized at current processing stage
freeCCtxParams                                           OK 0
CCtxParams_init                                          OK 0
init(L-1).compressionLevel                               -1
init(L-1).windowLog                                      0
init(L-1).hashLog                                        0
init(L-1).chainLog                                       0
init(L-1).searchLog                                      0
init(L-1).minMatch                                       0
init(L-1).targetLength                                   0
init(L-1).strategy                                       0
init(L-1).targetCBlockSize                               0
init(L-1).enableLongDistanceMatching                     0
init(L-1).ldmHashLog                                     0
init(L-1).ldmMinMatch                                    0
init(L-1).ldmBucketSizeLog                               0
init(L-1).ldmHashRateLog                                 0
init(L-1).contentSizeFlag                                1
init(L-1).checksumFlag                                   0
init(L-1).dictIDFlag                                     1
init(L-1).nbWorkers                                      0
init(L-1).jobSize                                        ERR Unsupported parameter
init(L-1).overlapLog                                     ERR Unsupported parameter
init(L-1).rsyncable                                      ERR Unsupported parameter
init(L-1).format                                         0
init(L-1).forceMaxWindow                                 0
init(L-1).forceAttachDict                                0
init(L-1).literalCompressionMode                         0
init(L-1).srcSizeHint                                    0
init(L-1).enableDedicatedDictSearch                      0
init(L-1).stableInBuffer                                 0
init(L-1).stableOutBuffer                                0
init(L-1).blockDelimiters                                0
init(L-1).validateSequences                              0
init(L-1).blockSplitterLevel                             0
init(L-1).splitAfterSequences                            0
init(L-1).useRowMatchFinder                              0
init(L-1).deterministicRefPrefix                         0
init(L-1).prefetchCDictTables                            0
init(L-1).enableSeqProducerFallback                      0
init(L-1).maxBlockSize                                   0
init(L-1).repcodeResolution                              0
init(L-1).searchForExternalRepcodes                      0
  estCCtxSize_usingCCtxParams                            OK 549912
  estCStreamSize_usingCCtxParams                         OK 1336857
CCtxParams_init_advanced                                 OK 0
initAdv(L-1).compressionLevel                            0
initAdv(L-1).windowLog                                   17
initAdv(L-1).hashLog                                     12
initAdv(L-1).chainLog                                    12
initAdv(L-1).searchLog                                   1
initAdv(L-1).minMatch                                    5
initAdv(L-1).targetLength                                1
initAdv(L-1).strategy                                    1
initAdv(L-1).targetCBlockSize                            0
initAdv(L-1).enableLongDistanceMatching                  2
initAdv(L-1).ldmHashLog                                  0
initAdv(L-1).ldmMinMatch                                 0
initAdv(L-1).ldmBucketSizeLog                            0
initAdv(L-1).ldmHashRateLog                              0
initAdv(L-1).contentSizeFlag                             1
initAdv(L-1).checksumFlag                                0
initAdv(L-1).dictIDFlag                                  1
initAdv(L-1).nbWorkers                                   0
initAdv(L-1).jobSize                                     ERR Unsupported parameter
initAdv(L-1).overlapLog                                  ERR Unsupported parameter
initAdv(L-1).rsyncable                                   ERR Unsupported parameter
initAdv(L-1).format                                      0
initAdv(L-1).forceMaxWindow                              0
initAdv(L-1).forceAttachDict                             0
initAdv(L-1).literalCompressionMode                      0
initAdv(L-1).srcSizeHint                                 0
initAdv(L-1).enableDedicatedDictSearch                   0
initAdv(L-1).stableInBuffer                              0
initAdv(L-1).stableOutBuffer                             0
initAdv(L-1).blockDelimiters                             0
initAdv(L-1).validateSequences                           0
initAdv(L-1).blockSplitterLevel                          0
initAdv(L-1).splitAfterSequences                         2
initAdv(L-1).useRowMatchFinder                           2
initAdv(L-1).deterministicRefPrefix                      0
initAdv(L-1).prefetchCDictTables                         0
initAdv(L-1).enableSeqProducerFallback                   0
initAdv(L-1).maxBlockSize                                131072
initAdv(L-1).repcodeResolution                           2
initAdv(L-1).searchForExternalRepcodes                   2
CCtxParams_reset                                         OK 0
reset(L-1).compressionLevel                              3
reset(L-1).windowLog                                     0
reset(L-1).hashLog                                       0
reset(L-1).chainLog                                      0
reset(L-1).searchLog                                     0
reset(L-1).minMatch                                      0
reset(L-1).targetLength                                  0
reset(L-1).strategy                                      0
reset(L-1).targetCBlockSize                              0
reset(L-1).enableLongDistanceMatching                    0
reset(L-1).ldmHashLog                                    0
reset(L-1).ldmMinMatch                                   0
reset(L-1).ldmBucketSizeLog                              0
reset(L-1).ldmHashRateLog                                0
reset(L-1).contentSizeFlag                               1
reset(L-1).checksumFlag                                  0
reset(L-1).dictIDFlag                                    1
reset(L-1).nbWorkers                                     0
reset(L-1).jobSize                                       ERR Unsupported parameter
reset(L-1).overlapLog                                    ERR Unsupported parameter
reset(L-1).rsyncable                                     ERR Unsupported parameter
reset(L-1).format                                        0
reset(L-1).forceMaxWindow                                0
reset(L-1).forceAttachDict                               0
reset(L-1).literalCompressionMode                        0
reset(L-1).srcSizeHint                                   0
reset(L-1).enableDedicatedDictSearch                     0
reset(L-1).stableInBuffer                                0
reset(L-1).stableOutBuffer                               0
reset(L-1).blockDelimiters                               0
reset(L-1).validateSequences                             0
reset(L-1).blockSplitterLevel                            0
reset(L-1).splitAfterSequences                           0
reset(L-1).useRowMatchFinder                             0
reset(L-1).deterministicRefPrefix                        0
reset(L-1).prefetchCDictTables                           0
reset(L-1).enableSeqProducerFallback                     0
reset(L-1).maxBlockSize                                  0
reset(L-1).repcodeResolution                             0
reset(L-1).searchForExternalRepcodes                     0
CCtxParams_registerSequenceProducer(NULL,NULL)           done
  estCCtxSize after registerSeqProd                      OK 1303576
setParametersUsingCCtxParams                             OK 0
usingCCtxParams c2(L-1)                                  OK     18224 fnv=89c49c1f692175ce
  roundtrip                                              match
  compressStream2(start session)                         OK 0
  setParametersUsingCCtxParams mid                       ERR(60) Operation not authorized at current processing stage
setParametersUsingCCtxParams(NULLparams)                 ERR(60) Operation not authorized at current processing stage
freeCCtxParams                                           OK 0
CCtxParams_init                                          OK 0
init(L0).compressionLevel                                0
init(L0).windowLog                                       0
init(L0).hashLog                                         0
init(L0).chainLog                                        0
init(L0).searchLog                                       0
init(L0).minMatch                                        0
init(L0).targetLength                                    0
init(L0).strategy                                        0
init(L0).targetCBlockSize                                0
init(L0).enableLongDistanceMatching                      0
init(L0).ldmHashLog                                      0
init(L0).ldmMinMatch                                     0
init(L0).ldmBucketSizeLog                                0
init(L0).ldmHashRateLog                                  0
init(L0).contentSizeFlag                                 1
init(L0).checksumFlag                                    0
init(L0).dictIDFlag                                      1
init(L0).nbWorkers                                       0
init(L0).jobSize                                         ERR Unsupported parameter
init(L0).overlapLog                                      ERR Unsupported parameter
init(L0).rsyncable                                       ERR Unsupported parameter
init(L0).format                                          0
init(L0).forceMaxWindow                                  0
init(L0).forceAttachDict                                 0
init(L0).literalCompressionMode                          0
init(L0).srcSizeHint                                     0
init(L0).enableDedicatedDictSearch                       0
init(L0).stableInBuffer                                  0
init(L0).stableOutBuffer                                 0
init(L0).blockDelimiters                                 0
init(L0).validateSequences                               0
init(L0).blockSplitterLevel                              0
init(L0).splitAfterSequences                             0
init(L0).useRowMatchFinder                               0
init(L0).deterministicRefPrefix                          0
init(L0).prefetchCDictTables                             0
init(L0).enableSeqProducerFallback                       0
init(L0).maxBlockSize                                    0
init(L0).repcodeResolution                               0
init(L0).searchForExternalRepcodes                       0
  estCCtxSize_usingCCtxParams                            OK 1303576
  estCStreamSize_usingCCtxParams                         OK 3663385
CCtxParams_init_advanced                                 OK 0
initAdv(L0).compressionLevel                             0
initAdv(L0).windowLog                                    17
initAdv(L0).hashLog                                      16
initAdv(L0).chainLog                                     15
initAdv(L0).searchLog                                    2
initAdv(L0).minMatch                                     5
initAdv(L0).targetLength                                 0
initAdv(L0).strategy                                     2
initAdv(L0).targetCBlockSize                             0
initAdv(L0).enableLongDistanceMatching                   2
initAdv(L0).ldmHashLog                                   0
initAdv(L0).ldmMinMatch                                  0
initAdv(L0).ldmBucketSizeLog                             0
initAdv(L0).ldmHashRateLog                               0
initAdv(L0).contentSizeFlag                              1
initAdv(L0).checksumFlag                                 0
initAdv(L0).dictIDFlag                                   1
initAdv(L0).nbWorkers                                    0
initAdv(L0).jobSize                                      ERR Unsupported parameter
initAdv(L0).overlapLog                                   ERR Unsupported parameter
initAdv(L0).rsyncable                                    ERR Unsupported parameter
initAdv(L0).format                                       0
initAdv(L0).forceMaxWindow                               0
initAdv(L0).forceAttachDict                              0
initAdv(L0).literalCompressionMode                       0
initAdv(L0).srcSizeHint                                  0
initAdv(L0).enableDedicatedDictSearch                    0
initAdv(L0).stableInBuffer                               0
initAdv(L0).stableOutBuffer                              0
initAdv(L0).blockDelimiters                              0
initAdv(L0).validateSequences                            0
initAdv(L0).blockSplitterLevel                           0
initAdv(L0).splitAfterSequences                          2
initAdv(L0).useRowMatchFinder                            2
initAdv(L0).deterministicRefPrefix                       0
initAdv(L0).prefetchCDictTables                          0
initAdv(L0).enableSeqProducerFallback                    0
initAdv(L0).maxBlockSize                                 131072
initAdv(L0).repcodeResolution                            2
initAdv(L0).searchForExternalRepcodes                    2
CCtxParams_reset                                         OK 0
reset(L0).compressionLevel                               3
reset(L0).windowLog                                      0
reset(L0).hashLog                                        0
reset(L0).chainLog                                       0
reset(L0).searchLog                                      0
reset(L0).minMatch                                       0
reset(L0).targetLength                                   0
reset(L0).strategy                                       0
reset(L0).targetCBlockSize                               0
reset(L0).enableLongDistanceMatching                     0
reset(L0).ldmHashLog                                     0
reset(L0).ldmMinMatch                                    0
reset(L0).ldmBucketSizeLog                               0
reset(L0).ldmHashRateLog                                 0
reset(L0).contentSizeFlag                                1
reset(L0).checksumFlag                                   0
reset(L0).dictIDFlag                                     1
reset(L0).nbWorkers                                      0
reset(L0).jobSize                                        ERR Unsupported parameter
reset(L0).overlapLog                                     ERR Unsupported parameter
reset(L0).rsyncable                                      ERR Unsupported parameter
reset(L0).format                                         0
reset(L0).forceMaxWindow                                 0
reset(L0).forceAttachDict                                0
reset(L0).literalCompressionMode                         0
reset(L0).srcSizeHint                                    0
reset(L0).enableDedicatedDictSearch                      0
reset(L0).stableInBuffer                                 0
reset(L0).stableOutBuffer                                0
reset(L0).blockDelimiters                                0
reset(L0).validateSequences                              0
reset(L0).blockSplitterLevel                             0
reset(L0).splitAfterSequences                            0
reset(L0).useRowMatchFinder                              0
reset(L0).deterministicRefPrefix                         0
reset(L0).prefetchCDictTables                            0
reset(L0).enableSeqProducerFallback                      0
reset(L0).maxBlockSize                                   0
reset(L0).repcodeResolution                              0
reset(L0).searchForExternalRepcodes                      0
CCtxParams_registerSequenceProducer(NULL,NULL)           done
  estCCtxSize after registerSeqProd                      OK 1303576
setParametersUsingCCtxParams                             OK 0
usingCCtxParams c2(L0)                                   OK     16349 fnv=e7af382f022df95e
  roundtrip                                              match
  compressStream2(start session)                         OK 0
  setParametersUsingCCtxParams mid                       ERR(60) Operation not authorized at current processing stage
setParametersUsingCCtxParams(NULLparams)                 ERR(60) Operation not authorized at current processing stage
freeCCtxParams                                           OK 0
CCtxParams_init                                          OK 0
init(L1).compressionLevel                                1
init(L1).windowLog                                       0
init(L1).hashLog                                         0
init(L1).chainLog                                        0
init(L1).searchLog                                       0
init(L1).minMatch                                        0
init(L1).targetLength                                    0
init(L1).strategy                                        0
init(L1).targetCBlockSize                                0
init(L1).enableLongDistanceMatching                      0
init(L1).ldmHashLog                                      0
init(L1).ldmMinMatch                                     0
init(L1).ldmBucketSizeLog                                0
init(L1).ldmHashRateLog                                  0
init(L1).contentSizeFlag                                 1
init(L1).checksumFlag                                    0
init(L1).dictIDFlag                                      1
init(L1).nbWorkers                                       0
init(L1).jobSize                                         ERR Unsupported parameter
init(L1).overlapLog                                      ERR Unsupported parameter
init(L1).rsyncable                                       ERR Unsupported parameter
init(L1).format                                          0
init(L1).forceMaxWindow                                  0
init(L1).forceAttachDict                                 0
init(L1).literalCompressionMode                          0
init(L1).srcSizeHint                                     0
init(L1).enableDedicatedDictSearch                       0
init(L1).stableInBuffer                                  0
init(L1).stableOutBuffer                                 0
init(L1).blockDelimiters                                 0
init(L1).validateSequences                               0
init(L1).blockSplitterLevel                              0
init(L1).splitAfterSequences                             0
init(L1).useRowMatchFinder                               0
init(L1).deterministicRefPrefix                          0
init(L1).prefetchCDictTables                             0
init(L1).enableSeqProducerFallback                       0
init(L1).maxBlockSize                                    0
init(L1).repcodeResolution                               0
init(L1).searchForExternalRepcodes                       0
  estCCtxSize_usingCCtxParams                            OK 582680
  estCStreamSize_usingCCtxParams                         OK 1369625
CCtxParams_init_advanced                                 OK 0
initAdv(L1).compressionLevel                             0
initAdv(L1).windowLog                                    17
initAdv(L1).hashLog                                      13
initAdv(L1).chainLog                                     12
initAdv(L1).searchLog                                    1
initAdv(L1).minMatch                                     6
initAdv(L1).targetLength                                 0
initAdv(L1).strategy                                     1
initAdv(L1).targetCBlockSize                             0
initAdv(L1).enableLongDistanceMatching                   2
initAdv(L1).ldmHashLog                                   0
initAdv(L1).ldmMinMatch                                  0
initAdv(L1).ldmBucketSizeLog                             0
initAdv(L1).ldmHashRateLog                               0
initAdv(L1).contentSizeFlag                              1
initAdv(L1).checksumFlag                                 0
initAdv(L1).dictIDFlag                                   1
initAdv(L1).nbWorkers                                    0
initAdv(L1).jobSize                                      ERR Unsupported parameter
initAdv(L1).overlapLog                                   ERR Unsupported parameter
initAdv(L1).rsyncable                                    ERR Unsupported parameter
initAdv(L1).format                                       0
initAdv(L1).forceMaxWindow                               0
initAdv(L1).forceAttachDict                              0
initAdv(L1).literalCompressionMode                       0
initAdv(L1).srcSizeHint                                  0
initAdv(L1).enableDedicatedDictSearch                    0
initAdv(L1).stableInBuffer                               0
initAdv(L1).stableOutBuffer                              0
initAdv(L1).blockDelimiters                              0
initAdv(L1).validateSequences                            0
initAdv(L1).blockSplitterLevel                           0
initAdv(L1).splitAfterSequences                          2
initAdv(L1).useRowMatchFinder                            2
initAdv(L1).deterministicRefPrefix                       0
initAdv(L1).prefetchCDictTables                          0
initAdv(L1).enableSeqProducerFallback                    0
initAdv(L1).maxBlockSize                                 131072
initAdv(L1).repcodeResolution                            2
initAdv(L1).searchForExternalRepcodes                    2
CCtxParams_reset                                         OK 0
reset(L1).compressionLevel                               3
reset(L1).windowLog                                      0
reset(L1).hashLog                                        0
reset(L1).chainLog                                       0
reset(L1).searchLog                                      0
reset(L1).minMatch                                       0
reset(L1).targetLength                                   0
reset(L1).strategy                                       0
reset(L1).targetCBlockSize                               0
reset(L1).enableLongDistanceMatching                     0
reset(L1).ldmHashLog                                     0
reset(L1).ldmMinMatch                                    0
reset(L1).ldmBucketSizeLog                               0
reset(L1).ldmHashRateLog                                 0
reset(L1).contentSizeFlag                                1
reset(L1).checksumFlag                                   0
reset(L1).dictIDFlag                                     1
reset(L1).nbWorkers                                      0
reset(L1).jobSize                                        ERR Unsupported parameter
reset(L1).overlapLog                                     ERR Unsupported parameter
reset(L1).rsyncable                                      ERR Unsupported parameter
reset(L1).format                                         0
reset(L1).forceMaxWindow                                 0
reset(L1).forceAttachDict                                0
reset(L1).literalCompressionMode                         0
reset(L1).srcSizeHint                                    0
reset(L1).enableDedicatedDictSearch                      0
reset(L1).stableInBuffer                                 0
reset(L1).stableOutBuffer                                0
reset(L1).blockDelimiters                                0
reset(L1).validateSequences                              0
reset(L1).blockSplitterLevel                             0
reset(L1).splitAfterSequences                            0
reset(L1).useRowMatchFinder                              0
reset(L1).deterministicRefPrefix                         0
reset(L1).prefetchCDictTables                            0
reset(L1).enableSeqProducerFallback                      0
reset(L1).maxBlockSize                                   0
reset(L1).repcodeResolution                              0
reset(L1).searchForExternalRepcodes                      0
CCtxParams_registerSequenceProducer(NULL,NULL)           done
  estCCtxSize after registerSeqProd                      OK 1303576
setParametersUsingCCtxParams                             OK 0
usingCCtxParams c2(L1)                                   OK     18012 fnv=53b6ee11d5a60d0e
  roundtrip                                              match
  compressStream2(start session)                         OK 0
  setParametersUsingCCtxParams mid                       ERR(60) Operation not authorized at current processing stage
setParametersUsingCCtxParams(NULLparams)                 ERR(60) Operation not authorized at current processing stage
freeCCtxParams                                           OK 0
CCtxParams_init                                          OK 0
init(L5).compressionLevel                                5
init(L5).windowLog                                       0
init(L5).hashLog                                         0
init(L5).chainLog                                        0
init(L5).searchLog                                       0
init(L5).minMatch                                        0
init(L5).targetLength                                    0
init(L5).strategy                                        0
init(L5).targetCBlockSize                                0
init(L5).enableLongDistanceMatching                      0
init(L5).ldmHashLog                                      0
init(L5).ldmMinMatch                                     0
init(L5).ldmBucketSizeLog                                0
init(L5).ldmHashRateLog                                  0
init(L5).contentSizeFlag                                 1
init(L5).checksumFlag                                    0
init(L5).dictIDFlag                                      1
init(L5).nbWorkers                                       0
init(L5).jobSize                                         ERR Unsupported parameter
init(L5).overlapLog                                      ERR Unsupported parameter
init(L5).rsyncable                                       ERR Unsupported parameter
init(L5).format                                          0
init(L5).forceMaxWindow                                  0
init(L5).forceAttachDict                                 0
init(L5).literalCompressionMode                          0
init(L5).srcSizeHint                                     0
init(L5).enableDedicatedDictSearch                       0
init(L5).stableInBuffer                                  0
init(L5).stableOutBuffer                                 0
init(L5).blockDelimiters                                 0
init(L5).validateSequences                               0
init(L5).blockSplitterLevel                              0
init(L5).splitAfterSequences                             0
init(L5).useRowMatchFinder                               0
init(L5).deterministicRefPrefix                          0
init(L5).prefetchCDictTables                             0
init(L5).enableSeqProducerFallback                       0
init(L5).maxBlockSize                                    0
init(L5).repcodeResolution                               0
init(L5).searchForExternalRepcodes                       0
  estCCtxSize_usingCCtxParams                            OK 3138584
